Provider ID,Name,Specialty,Contact Number,Email,City,Status,Last Updated
1082,Provider_82,Cardiology,+91-9540529868,provider82@healthmail.com,Hyderabad,Active,2023-06-29
1083,Provider_83,General Medicine,+91-9575584232,provider83@healthmail.com,Hyderabad,Active,2023-08-11
1084,Provider_84,General Medicine,+91-9335283714,provider84@healthmail.com,Bangalore,Inactive,2024-10-20
1085,Provider_85,Cardiology,+91-9129859174,provider85@healthmail.com,Delhi,Pending Verification,2024-03-17
1086,Provider_86,Cardiology,+91-9807191493,provider86@healthmail.com,Bangalore,Active,2024-08-30
1087,Provider_87,Cardiology,+91-9146159303,provider87@healthmail.com,Delhi,Active,2023-11-21
1088,Provider_88,Cardiology,+91-9246412954,provider88@healthmail.com,Chennai,Active,2024-05-30
1089,Provider_89,Pediatrics,+91-9819024776,provider89@healthmail.com,Mumbai,Inactive,2023-01-16
1090,Provider_90,Orthopedics,+91-9926506464,provider90@healthmail.com,Mumbai,Inactive,2023-12-02
1091,Provider_91,Orthopedics,+91-9614817842,provider91@healthmail.com,Mumbai,Pending Verification,2023-09-15
1092,Provider_92,Cardiology,+91-9183375337,provider92@healthmail.com,Bangalore,Pending Verification,2024-05-11
1093,Provider_93,Orthopedics,+91-9476304299,provider93@healthmail.com,Chennai,Pending Verification,2023-06-09
1094,Provider_94,Orthopedics,+91-9928540878,provider94@healthmail.com,Delhi,Inactive,2024-04-19
1095,Provider_95,Cardiology,+91-9822804538,provider95@healthmail.com,Hyderabad,Inactive,2024-10-25
1096,Provider_96,Orthopedics,+91-9414404213,provider96@healthmail.com,Delhi,Pending Verification,2024-11-20
1097,Provider_97,General Medicine,+91-9180705119,provider97@healthmail.com,Hyderabad,Pending Verification,2024-11-05
1098,Provider_98,Neurology,+91-9349546199,provider98@healthmail.com,Delhi,Inactive,2024-01-15
1099,Provider_99,Neurology,+91-9971959784,provider99@healthmail.com,Chennai,Pending Verification,2024-06-28
1100,Provider_100,Cardiology,+91-9760721331,provider100@healthmail.com,Hyderabad,Active,2024-11-21
